date,temperature_min,temperature_avg,temperature_max,uv_max,rain_sum,humidity_avg,wind_max,wind_avg
2014-01-03,14.5,18.76,22.5,9.41,0,50.39,45.36,12.24
2014-01-04,12.4,16.61,20.3,9.35,0.4,49.59,42.48,13.46
2014-01-05,10.3,17.59,26.1,8.34,0.2,45.59,52.92,15.81
2014-01-06,12.5,15.31,18.2,8.74,0,46.71,48.24,17.31
2014-01-07,13.6,15.85,19,9.3,0,46.32,37.44,12.1
2014-01-08,12.1,18.52,27.6,7.45,0,48.08,38.88,10.42
2014-01-09,14,23.5,33.2,7.9,0,42.93,29.52,7.64
2014-01-10,21.8,27.88,34.4,8.01,0,32.71,42.84,14.45
2014-01-11,16.3,19.21,23.3,7.78,0,65.71,31.32,9.32
2014-01-12,16.9,18.39,21.4,8.74,0,63.79,25.56,9.5
2014-01-13,14.9,22.35,31.1,7.45,0,59.19,15.84,6.15
2014-01-14,20.6,32.73,42.8,13.44,0,30.15,52.92,13.43
2014-01-15,26.9,34.39,42.6,13.27,0,20.77,44.28,10.08
2014-01-16,27.8,34.34,43.5,13.16,1.2,23.49,34.56,9.58
2014-01-17,23.1,31.75,43.8,13.27,0,31.48,40.68,13.34
2014-01-18,18,21.37,25,7.45,0,62.22,32.4,10.63
2014-01-19,16.1,18.49,21.2,8.18,0,59.15,41.04,12.77
2014-01-20,17.8,20.13,22.9,7.73,0,63.36,41.76,12.19
2014-01-21,16.7,18.42,21.5,7.78,0,56.4,29.88,10.93
2014-01-22,16,18.74,22.3,7.17,0,49.44,38.16,11.56
2014-01-23,13.8,21.15,29.5,7,0,50.42,27,7.26
2014-01-24,17.1,19.81,22.7,7.9,4.6,66.81,37.44,10.19
2014-01-25,15.4,17.24,19.3,7.56,0,46.19,46.08,14.14
2014-01-26,13.7,20.23,27.3,7.39,0,46.72,23.4,8.38
2014-01-27,17.8,27.31,34.7,8.23,0,32.47,42.84,13.6
2014-01-28,21.1,30.72,41.8,12.99,0,24.55,57.24,16.38
2014-01-29,17.5,20.15,22.8,8.18,0,57.87,37.44,11.48
2014-01-30,15.6,21.79,29.1,7.62,0,56.34,24.12,7.86
2014-01-31,19.5,21.81,25.8,7.06,0,70.07,34.56,11.01
2014-02-01,18.1,21.66,29.7,3.58,0,70.99,25.2,7.66
2014-02-02,18.1,28.34,39.8,12.32,0,46.62,19.08,5.11
2014-02-03,17.1,24.53,34.9,7.34,0.6,46.41,45.72,11.62
2014-02-04,14.9,19.53,25.6,7.62,0,43,49.68,15.52
2014-02-05,13.8,21.71,30.8,6.66,0,38.79,32.76,8.98
2014-02-06,17.3,26.98,35.3,7.73,0,32.12,40.32,10.95
2014-02-07,20.1,26.08,37.1,9.13,0,42.03,39.96,12.21
2014-02-08,18.7,28.56,41.7,13.27,0,44.89,27,6.48
2014-02-09,19.2,28.11,40,12.32,0,27.42,63.72,18.5
2014-02-10,16.2,19.34,22.7,6.89,0,49.48,38.88,11.46
2014-02-11,14.8,20.03,25,5.49,0,59.2,27.72,8.08
2014-02-12,16.7,21.7,26,5.43,0,67.63,26.64,7.4
2014-02-13,20.1,23.39,26.7,4.54,0,61.63,15.84,4.86
2014-02-14,19.2,23.67,27,3.64,0,60.35,17.28,4.95
2014-02-15,20.9,23.41,29,6.44,4.2,65.47,31.68,7.5
2014-02-16,16.3,19.47,22,7.39,7.6,66.67,39.96,12.89
2014-02-17,15.6,19.71,25.1,7.39,0,51.55,24.84,7.87
2014-02-18,14.3,21.42,30.5,6.78,0,55.86,36.72,8.22
2014-02-19,13.8,18.79,25.1,7.45,6.6,65.55,42.48,10.25
2014-02-20,12.6,15.93,19.8,7.11,0.2,51.39,50.4,16.5
2014-02-21,12.2,15.87,19.6,5.82,0,53.82,31.32,11.36
2014-02-22,14.4,16.7,19.2,4.65,0.4,62.58,28.44,8.42
2014-02-23,14.9,18.08,22,6.27,0,56.84,25.92,7.56
2014-02-24,14.7,19.07,25.3,5.94,0,63.37,26.64,6.13
2014-02-25,15.1,22.28,33.2,6.89,0,55.37,48.6,11.57
2014-02-26,14.9,17.69,20.7,6.83,0.2,59.07,30.6,11.23
2014-02-27,14.3,16.85,20.4,6.94,0,51.36,35.28,11.54
2014-02-28,13.8,17.42,21.5,5.54,0,56.87,33.48,11.61
2014-03-01,15.4,18.97,22.3,5.71,0,70.6,32.04,8.77
2014-03-02,15.9,18.59,21.3,6.33,0,62.87,31.68,9.64
2014-03-03,15.7,19.53,24.3,5.71,0,63.82,24.12,8.24
2014-03-04,15.9,25.1,33.6,6.78,0,49.63,33.12,10.56
2014-03-05,16.3,20.35,26.7,1.57,0,57.78,34.2,11.45
2014-03-06,14.6,17.07,19.6,5.71,0,48.93,32.76,9.99
2014-03-07,13.8,17.77,21.8,5.82,0,64.74,43.56,9.25
2014-03-08,17.1,21.85,26.9,5.99,0,62.27,29.16,8.86
2014-03-09,16.8,25.34,32.9,5.82,0,40.4,35.28,10.26
2014-03-10,21,25.53,33.1,6.5,0,33.48,38.52,10.99
2014-03-11,19.5,23.76,31.6,4.31,1.2,52.33,34.56,8.58
2014-03-12,16,18.16,20.5,5.49,0.6,56.91,31.32,11.77
2014-03-13,13,17.63,21.8,5.04,0,56.29,32.4,7.48
2014-03-14,14.8,20.34,27.3,4.98,0,61.8,19.44,5.58
